sample_id,Animal_No,body_weight,body_weight_change_percent,body_weight_change,genotype,diet,date_time,XT+YT,XT,VO2(3),VCO2(3),Temp,RER,H(3),Flow,Feed1,Drink
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 14:36:00,0,0,64,58,22.8,0.908,0.314,0.45,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 14:46:00,3,3,65,60,22.8,0.92,0.322,0.45,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 14:56:00,0,0,65,60,22.8,0.922,0.322,0.46,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 15:06:00,1,1,63,58,22.8,0.921,0.31,0.44,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 15:16:00,0,0,64,58,22.8,0.901,0.316,0.47,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 15:26:00,5,3,74,68,22.8,0.917,0.368,0.46,0,0.01
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 15:36:00,5,4,70,65,22.9,0.919,0.349,0.45,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 15:46:00,207,134,87,80,22.9,0.916,0.432,0.45,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 15:56:00,0,0,90,82,22.9,0.909,0.446,0.46,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 16:06:00,119,82,66,58,22.9,0.88,0.324,0.44,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 16:16:00,604,389,86,73,22.9,0.852,0.418,0.46,0.04,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 16:26:00,592,422,92,80,22.9,0.874,0.452,0.46,0.12,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 16:36:00,556,59,105,93,22.8,0.887,0.519,0.45,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 16:46:00,78,0,81,72,22.8,0.89,0.398,0.47,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 16:56:00,290,0,68,63,22.8,0.936,0.336,0.45,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 17:06:00,180,0,69,61,22.8,0.887,0.341,0.47,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 17:16:00,32,0,66,57,22.8,0.872,0.322,0.46,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 17:26:00,0,0,67,58,22.8,0.865,0.329,0.46,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 17:36:00,288,13,77,69,22.8,0.901,0.38,0.43,0,0
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 17:46:00,460,132,91,82,22.9,0.902,0.45,0.45,0.09,0.13
Box-1,1,29.7,54.2,0.625,C57Bl6j,chow,2017-03-14 17:56:00,39,0,80,72,22.9,0.895,0.395,0.43,0,0.03
